NAME,SEEDS,LEECHES,TIME,SIZE,UPLOADER
21 Bridges (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]3,50,12,6am Feb. 16th,1.4 GB50,UTRCorp
A Shaun the Sheep Movie Farmageddon (2019) (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR],7,8,6am Feb. 16th,3.9 GB7,UTRCorp
Strike Back S08E01 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],6,3,6am Feb. 16th,506.8 MB6,UTRCorp
Chicago P.D. S07E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],2,8,6pm Feb. 15th,402.5 MB2,UTRCorp
Chicago Fire S08E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],6,0,6pm Feb. 15th,471.2 MB6,UTRCorp
Modern Family S11E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,31,9,6pm Feb. 15th,213.4 MB31,UTRCorp
Midway (2019) REPACK (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UTR]5,30,9,11am Feb. 14th,2.8 GB30,UTRCorp
Midway (2019) REPACK (1080p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR],17,6,11am Feb. 14th,1.8 GB17,UTRCorp
A Beautiful Day in the Neighborhood (2019) REPACK (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]1,7,3,11am Feb. 14th,5.0 GB7,UTRCorp
A Beautiful Day in the Neighborhood (2019) REPACK (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UT...,30,3,11am Feb. 14th,1.4 GB30,UTRCorp
Chicago Med S05E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]1,1,0,11am Feb. 14th,398.0 MB1,UTRCorp
68 Whiskey S01E05 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 2.0 Joy) [UTR],3,1,11am Feb. 14th,356.2 MB3,UTRCorp
Stumptown S01E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],7,0,11am Feb. 14th,427.8 MB7,UTRCorp
Knives Out (2019) (2160p AMZN WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]3,30,15,10am Feb. 14th,5.8 GB30,UTRCorp
Star Trek Picard S01E04 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,24,0,6am Feb. 14th,444.2 MB24,UTRCorp
FBI S02E15 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]1,5,0,3pm Feb. 13th,374.2 MB5,UTRCorp
Midway (2019) (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]4,46,11,10am Feb. 12th,6.3 GB46,UTRCorp
Marvel's Luke Cage (2016) Season 01 S01 (2160p WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR],3,3,10am Feb. 12th,21.6 GB3,UTRCorp
A Shaun the Sheep Movie Farmageddon (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]4,36,1,11am Feb. 11th,1.2 GB36,UTRCorp
Frozen 2 (2019) (1080p WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]3,57,8,6am Feb. 11th,1.4 GB57,UTRCorp
Origins: The Journey Of Humankind (2017) Season 01 S01 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Jo...,7,6,5am Feb. 11th,3.6 GB7,UTRCorp
Midway (2019) (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UTR]1,34,4,5am Feb. 11th,3.5 GB34,UTRCorp
Midway (2019) (1080p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR],24,5,5am Feb. 11th,1.8 GB24,UTRCorp
Jojo Rabbit (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,15,3,5am Feb. 11th,1.4 GB15,UTRCorp
Avenue 5 S01E04 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],17,0,5am Feb. 11th,282.4 MB17,UTRCorp
Interstellar (2014) IMAX (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,14,1,11pm Feb. 10th,2.5 GB14,UTRCorp
Interstellar (2014) IMAX (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]4,16,5,11pm Feb. 10th,5.5 GB16,UTRCorp
Interstellar (2014) IMAX (2160p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]4,17,11,11pm Feb. 10th,9.2 GB17,UTRCorp
Saturday Night Live S45E13 (1080p HULU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],10,0,11am Feb. 10th,669.8 MB10,UTRCorp
Eye in the Sky (2015) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],21,1,11am Feb. 10th,1.2 GB21,UTRCorp
A Beautiful Day in the Neighborhood (2019) (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UTR],15,4,5am Feb. 9th,1.5 GB15,UTRCorp
A Beautiful Day in the Neighborhood (2019) (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]2,6,6,5am Feb. 9th,5.0 GB6,UTRCorp
Knives Out (2019) (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]4,62,12,5am Feb. 9th,1.9 GB62,UTRCorp
"House, M.D (2004) Season 03 S03 REPACK (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]5",4,4,8pm Feb. 8th,10.9 GB4,UTRCorp
Harley Quinn S01E11 (2160p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],3,0,6pm Feb. 8th,698.8 MB3,UTRCorp
Harley Quinn S01E11 (1080p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],15,0,10am Feb. 8th,228.1 MB15,UTRCorp
Young Sheldon S03E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],18,0,10am Feb. 8th,184.8 MB18,UTRCorp
Project Blue Book S02E03 (1080p AMZN WEB-DL x265 HEVC 10bit AC3 5.1 Qman) [UTR],5,2,7pm Feb. 7th,807.9 MB5,UTRCorp
 Chicago Fire S08E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,8,0,7pm Feb. 7th,432.9 MB8,UTRCorp
Chicago Med S05E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],1,1,7pm Feb. 7th,359.4 MB1,UTRCorp
Chicago P.D. S07E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],10,1,7pm Feb. 7th,329.6 MB10,UTRCorp
68 Whiskey S01E04 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 2.0 Joy) [UTR],7,1,10am Feb. 7th,364.1 MB7,UTRCorp
Stumptown S01E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,1,2,10am Feb. 7th,428.7 MB1,UTRCorp
Vikings S06E10 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,34,7,10am Feb. 7th,506.3 MB34,UTRCorp
Star Trek Picard S01E03 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]7,27,1,11pm Feb. 6th,429.5 MB27,UTRCorp
Ford v Ferrari (2019) (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]3,115,43,10pm Feb. 6th,7.0 GB115,UTRCorp
Mission Impossible III (2006) (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,2,1,7am Feb. 6th,1.6 GB2,UTRCorp
Mission Impossible III (2006) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]1,14,3,7am Feb. 6th,2.3 GB14,UTRCorp
Mission Impossible III (2006) (2160p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,7,9,7am Feb. 6th,5.7 GB7,UTRCorp
Mission Impossible II (2000) (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR],4,0,7am Feb. 6th,1.6 GB4,UTRCorp
Mission Impossible II (2000) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],12,4,7am Feb. 6th,2.5 GB12,UTRCorp
